Numero catalogo,Nome,Tipo di oggetto,Costellazione,Coordinate (2000),Distanza,Magnitudine visuale,Dimensioni apparenti,Dimensioni reali,Descrizione
M52,"NGC 7654","Ammasso
aperto",Cassiopea,"A.R. 23h 24,2min ; Dec. +61°
35",4500 a.l.,"7,3",13',19 a.l.,"M 52 (conosciuto anche come NGC 7654) è un ammasso aperto visibile nella costellazione di Cassiopea. M52 è un ammasso estremamente ricco e compatto, con una densità media stimata di circa 3 stelle per parsec cubico, e addirittura fino a 50 stelle per parsec cubico nella zona centrale. Il suo diametro apparente è pari a 13 minuti d'arco, e un diametro reale di circa 19 anni luce. Non si conosce la distanza esatta di questo ammasso dal nostro sistema solare: le stime vanno dai 3900 ai 4900 anni luce, ma viene accettato un valore sui 4500 anni luce (1380 parsec); queste differenze sono dovute principalmente al forte assorbimento interstellare che la sua luce incontra nella nostra direzione, che complica notevolmente il raggiungimento di una stima precisa. L'età media stimata di M52 è di circa 160 milioni di anni, anche se le diverse stime riportano età comprese fra i 25 e i 158 milioni di anni; si tratta comunque di un ammasso relativamente giovane, che contiene diverse stelle di classe spettrale B, ossia stelle azzurre e massicce. La componente più luminosa sulla sequenza principale è di magnitudine 11 e di tipo spettrale B7. L'ammasso contiene anche cinque variabili pulsanti a lungo periodo di classe B (SPB) e una stella particolare di tipo Of: una stella estremamente calda con peculiari linee spettrali di elio ed azoto ionizzati.[ Nelle regioni interne dell'ammasso vi è una marcata assenza di materia interstellare, la quale è stata probabilmente espulsa dall'azione del vento stellare delle componenti maggiori oppure dall'esplosione di una o più supernovae in epoche passate; le regioni centrali di M52 appaiono anche prive di stelle particolarmente luminose e massicce, a differenza di come avviene in altri ammassi in cui è più evidente l'effetto della segregazione di massa."
M53,NGC 5024,Ammasso globulare,Chioma di Berenice,"A.R. 13h 12,9min; Dec. +18°
10'",60.000 a.l.,"7,6",10',150 a.l.,"M 53 (conosciuto anche come NGC 5024) è un ammasso globulare visibile nella costellazione della Chioma di Berenice. M53 è uno degli ammassi globulari più lontani da noi, infatti si trova a circa 58.000 anni luce dal Sistema Solare e a 60.000 anni luce dal centro galattico; il suo diametro angolare, di poco più di 10', corrisponde ad un'estensione lineare di circa 150 anni luce. Quest'ammasso contiene circa una cinquantina (47 accertate) di variabili, in maggioranza del tipo RR Lyrae; il suo moto proprio è di circa 80 km/s in avvicinamento."
M54,NGC 6715,Ammasso globulare,Sagittario,"A.R. 18h 55,1min; Dec. −30°
29'",87.000 a.l.,"7,7","9,1'",150-200 .l.,"M 54 (conosciuto anche come NGC 6715) è un ammasso globulare visibile nella costellazione del Sagittario. Per molto tempo si è ritenuto che M54 si trovasse a circa 50.000 anni luce dalla Terra, ma nel 1994 si è scoperto che M54 non appartiene alla Via Lattea, ma più probabilmente alla Galassia Nana Ellittica del Sagittario, in inglese Sagittarius Dwarf Elliptical Galaxy (sagDEG). In base ai nuovi dati, M54 è quindi diventato il primo ammasso globulare extragalattico mai scoperto. Le stime moderne pongono M54 a circa 87.000 anni luce e si ritiene abbia un raggio di 150-200 anni luce. A tale distanza M54 sarebbe uno degli ammassi globulari più luminosi che si conoscano, superato nella nostra galassia solo da Omega Centauri.M54 ha almeno 82 variabili note, la maggioranza delle quali appartiene al tipo RR Lyrae, ma vi sono anche due variabili rosse semiregolari con periodi di 77 e 101 giorni. È uno degli ammassi globulari più densi, appartenente alla classe III (alla classe I appartengono gli ammassi più densi, alla classe XII quelli meno densi). Recede da noi alla velocità di 130 km/s."
M55,NGC 6089,Ammasso globulare,Sagittario,"A.R. 19h 40,0min ; Dec. −30° 58'",17.300 a.l.,"6,3",19',110 a.l.,"M 55 (conosciuto anche come NGC 6809) è un ammasso globulare visibile nella costellazione del Sagittario. M55 si trova ad una distanza di circa 17.300 anni luce dalla Terra. In questo ammasso sono state scoperte solo una mezza dozzina di stelle variabili. La sua estensione lineare è valutata in circa 110 anni luce. M55 viene considerato uno degli ammassi globulari più vicini a noi, al contrario di M54, che si trova a poco più di 7° ad ovest, e che è invece tra i più lontani."
M56,NGC 6679,Ammasso globulare,Lira,"A.R. 19h 16,6min; Dec. +30° 11'",32.900 a.l.,"8,3",7',84 a.l.,"M 56 (conosciuto anche come NGC 6779) è un ammasso globulare visibile nella costellazione della Lira. M56 si trova ad una distanza di circa 32.900 anni luce dalla Terra e il suo diametro misura approssimativamente 84 anni luce; è uno degli ammassi globulari meno brillanti, soprattutto perché manca del nucleo molto brillante di cui è dotato la maggior parte di questi tipi di ammasso. Ciononostante, non è difficile da risolvere in stelle, anche se si trova ad una notevole distanza. Le stelle più brillanti in M56 sono di magnitudine 13 e in esso sono state trovate solo una dozzina di stelle variabili. M56 si dirige verso noi alla velocità di 138 km/s."
M57,Nebulosa ad Anello o Nebulosa anulare della Lira NGC 6720,Nebulosa planetaria,Lira,"A.R. 18h 53,6min; Dec. +33° 02'",2.300 a.l.,"9,7","230"" x 230""","2,6 a.l.  ","La Nebulosa Anello (nota anche come M 57 o NGC 6720) è una nebulosa planetaria visibile nella costellazione boreale della Lira; dista circa 2000 anni luce dalla Terra e ha un diametro di circa due anni luce. È una delle nebulose più famose. La forma ad anello è in realtà un effetto prospettico poiché dalla Terra possiamo osservarla da uno dei poli. Se potessimo osservarla dal piano equatoriale avrebbe l'aspetto della Nebulosa Manubrio (M27). M57 è un esempio di quella classe di nebulose planetarie note come nebulose bipolari, caratterizzate da una simmetria assiale bilobata, mostrando così una struttura ad anello se osservata lungo il suo asse maggiore di simmetria. Appare essere uno sferoide molto allungato con forti concentrazioni di materiale lungo l'equatore; dalla Terra l'asse di simmetria si osserva a circa 30°. Si stima che la nebulosità osservata si stia espandendo da circa 1.610 ± 240 anni."
M58,NGC 4579,Galassia a spirale barrata (tipo SBc),Vergine,"A.R. 12h 37,7min; Dec. +11° 49'",64.000.000 a.l.,"9,7",6',107.000 a.l.,"M 58 (nota anche come NGC 4579) è una galassia a spirale barrata distante 64 milioni di anni luce dalla terra, visibile nella costellazione della Vergine; fu scoperta da Charles Messier nel 1779 e appartiene all'Ammasso della Vergine. La massa di M58 è stata stimata in 300 miliardi di masse solari, dunque comparabile con quella della nostra Via Lattea; il suo diametro sarebbe di 107.000 anni luce. La sua magnitudine assoluta è -21,1, e la sua magnitudine apparente è pari a +9,7. M58 appare allontanarsi alla velocità di 1.517 km/s, con una distanza stimata in 64 milioni di anni luce: dunque paragonabile con quella delle galassie dell'Ammasso della Vergine di cui è parte. In questa galassia sono state osservate due supernove: la SN 1998A, di tipo II, che toccò magnitudine 13,5, e la SN 1989M, di tipo Ia, che raggiunse la magnitudine 12,2."
M59,NGC 4621,Galassia ellittica (tipo E5),Vergine,"A.R. 12h 42,0min; Dec. +11° 39'",60.000.000 a.l.,"10,6",5',90.000 a.l.,"M 59 (conosciuta anche con il nome di NGC 4621) è una galassia ellittica di tipo E5 appartenente all'Ammasso di galassie della Vergine; dista circa 60 milioni di anni luce dalla Terra. La sua magnitudine visuale è 10,6. M59 è una galassia che appartiene all'Ammasso della Vergine ed è una delle sue galassie ellittiche più grandi, anche se meno luminosa e massiccia di M49, M60 e della gigante M87. La forma di M59 è fortemente schiacciata, tanto da essere classificata come una galassia ellittica di tipo E5. L'asse maggiore ha una dimensione apparente di circa 5 primi d'arco che, considerando una distanza di 60 milioni di anni luce, corrispondono a circa 90 000 anni luce di diametro."
M60,NGC 4649,Galassia ellittica (tipo E2),Vergine,"A.R. 12h 43,7min; Dec. +11° 33'",60.000.000 a.l.,"8,9",7' x 6',120.000 a.l.,"M 60 (conosciuta anche con il nome di NGC 4649) è una galassia ellittica distante circa 60 milioni di anni luce dalla Terra visibile nella costellazione della Vergine. M60 è la terza galassia più brillante dell'ammasso della Vergine, ed è la maggiore del suo sottoammasso, che conta quattro galassie. la sua massa viene stimata in circa mille miliardi di masse solari, dunque diverse volte superiore a quella della nostra Via Lattea; il suo diametro sarebbe invece di 120000 anni luce, anche se l'alone esterno potrebbe essere anche più ampio. La sua magnitudine assoluta è pari a -22,3 e possiede un vasto sistema di ammassi globulari. M60 sembra in pieno processo di interazione con un'altra galassia vicina, la spirale di tipo Sc catalogata come NGC 4647; tuttavia, sebbene la sovrapposizione dei loro aloni suggerisca che queste due galassie siano in processo di interazione, le immagini fotografiche non evidenziano alcuna evidenza di deformazione, come sarebbe normale in caso di galassie realmente così vicine fra loro. Ciò suggerisce che in realtà queste due galassie si trovino sovrapposte solo per un effetto di prospettiva, e potrebbero trovarsi a distanza leggermente maggiori di come possa sembrare. Nel corso del 2004 nella galassia M60 è stata osservata una supernova, catalogata come SN 2004W."
M61,NGC 4303,Galassia a spirale (Tipo SBbc),Vergine,"A.R. 12h 21,9min; Dec. +04° 28'",60.000.000 a.l.,"9,7","6,5'",100.000 a.l.,"M 61 (conosciuta anche con il nome di NGC 4303) è una grande galassia a spirale intermedia situata nell'Ammasso della Vergine e visibile nell'omonima costellazione. Fu scoperta da Barnaba Oriani il 5 maggio del 1779. M61 si trova a 60 milioni di anni luce e con il suo diametro di circa 100.000 anni luce (simile a quello della Via Lattea) è uno dei più grandi membri dell'ammasso della Vergine. Particolarità di questa galassia è la struttura dei suoi bracci: essi mostrano diversi improvvisi cambi di direzione, dei veri e propri angoli che danno ad M61 un aspetto quasi poligonale. La sua massa è stata stimata in 50 miliardi di masse solari almeno e la sua magnitudine assoluta, rapportandola a quella apparente di 9,7, sarebbe pari a -21,2. Il moto proprio della galassia tende a farla allontanare da noi alla velocità di 1464 km/s, similmente a tutto l'Ammasso della Vergine, a cui appartiene. In questa galassia sono state osservate 8 supernove: SN 1926A, SN 1961I, SN 1964F, SN 1999gn, SN 2006ov, SN 2008in, SN2014qt e SN2014dt"
M62,NGC 6266,Ammasso globulare,Ofiuco,"A.R. 17h 01,2min; Dec. −30° 07'",22.500 a.l.,"6,5",15',100 a.l.,"M 62 (conosciuto anche come NGC 6266) è un ammasso globulare visibile nella parte meridionale della costellazione dell'Ofiuco. M62 si trova a una distanza di circa 22.500 anni luce dalla Terra e ha un diametro di 100 anni luce; si trova sul confine tra le costellazioni dell'Ofiuco e dello Scorpione, circa 3° a sud dell'ammasso globulare M19. È uno degli ammassi globulari più irregolari, ciò è probabilmente dovuto alla sua vicinanza al centro della Galassia (6.100 anni luce circa), il quale lo deforma grazie alle forze mareali; questa forza induce l'area sud-orientale dell'ammasso ad essere più concentrata rispetto alle altre.Dagli studi condotti a partire dal 1970 si è ricavato che M62 contiene almeno 89 stelle variabili, molte delle quali del tipo RR Lyrae. L'ammasso contiene inoltre un certo numero di sorgenti di raggi X."
M63,Galassia Girasole NGC 5055,Galassia a spirale (tipo Sb),Cani da caccia,"A.R. 13h 15,8min; Dec. +42° 02'",37.000.000 a.l.,"9,3",10' × 6',90.000 a.l.,"La Galassia Girasole (conosciuta anche come M 63 o NGC 5055) è una galassia a spirale visibile nella costellazione boreale dei Cani da Caccia; fu scoperta nel 1779 da Pierre Méchain, collega e amico del Messier e che collaborò alla stesura del celebre catalogo.La galassia Girasole è una spirale del tipo Sb o Sc, che mostra un irregolare disegno a spirale; apparentemente sembra formare un gruppo fisico con la Galassia Girandola, la Galassia Vortice e molte altre galassie minori; potrebbe appartenere al Gruppo di M101 (sottogruppo di M51). Il nome proprio girasole è dovuto al grandissimo numero di segmenti di spirali che circondano il nucleo, ben avvolte attorno ad esso e pervase da un gran numero di nubi di polvere interstellare; la massa totale della galassia sarebbe compresa fra le 80 e le 140 miliardi di masse solari, con un diametro di 90000 anni luce, ossia simile a quello della nostra Via Lattea. La distanza è stimata sui 37 milioni di anni luce e si allontana da noi alla velocità di 580 km/s.Nel maggio del 1971 è stata osservata fra i suoi bracci una supernova di tipo Ia, che raggiunse la magnitudine apparente 11,8."
M64,Galassia Occhio Nero o Galassia occhio del Diavolo NGC 4826,Galassia a spirale (tipo Sb),Chioma di Berenice,"A.R. 12h 56,7min; Dec. +21° 41'",24.000.000 a.l.,"9,4",10′.0 × 5′.4,35.000 a.l.,"La Galassia Occhio Nero (anche nota come Galassia occhio del Diavolo, M 64 o NGC 4826), è molto ben conosciuta tra gli astronomi amatoriali poiché è ben visibile anche con piccoli telescopi; è una galassia a spirale, dalla forma a girandola, visibile nella costellazione della Chioma di Berenice.Di fronte al luminoso centro galattico c'è una vistosa banda scura di polvere che assorbe la luce, da cui deriva il soprannome ""Occhio nero"".A prima vista M64 sembra assomigliare alle normali galassie girandola a spirale, oscurata in più punti da fitte nebulose oscure; tuttavia, recenti analisi dettagliate hanno portato alla scoperta che i gas interstellari delle regioni esterne ruotano in direzione contraria rispetto ai gas e le stelle nelle regioni interne.Alcuni astronomi ritengono che la rotazione contraria avrebbe avuto inizio quando M64 assorbì una propria galassia satellite, che sarebbe entrata in collisione con essa probabilmente più di un miliardo di anni fa. Nelle regioni di contatto tra le opposte rotazioni, i gas collisero, si compressero contraendosi, dando vita pertanto a una zona di formazione stellare molto attiva. Della piccola galassia che avrebbe impattato con M64 ora non resta quasi più nulla; le sue stelle o sono state assimilate dalla galassia principale o sono state disperse nello spazio come stelle iperveloci, ma i segni della collisione sarebbero visibili nel moto contrario dei gas nelle regioni esterne di M64.Nell'immagine sono di particolare interesse le calde e giovani stelle blu appena formatesi, insieme alle nubi rosa di idrogeno incandescente, che diventa fluorescente quando colpito dai raggi ultravioletti delle stelle appena formate. La distanza di M64 è stimata essere di circa 17 milioni di anni luce dalla Terra (5.2 megaparsec), dunque molto in primo piano rispetto alla gran parte delle galassie osservabili in questa regione di cielo, in particolare quelle più a sud, del grande Ammasso della Vergine; nelle sue spire non sono mai state osservate supernovae. La sua distanza da noi aumenta di 377 km/s."
M65,NGC 3623,Galassia spirale (tipo Sa),Leone,"A.R. 11h 18,9min; Dec. +13° 05'",22.000.000 a.l.,"9,3",10' x 3',70.000 a.l.,"M 65 (conosciuto anche come NGC 3623) è una galassia a spirale visibile nella costellazione del Leone. È stata scoperta da Pierre Méchain nel 1780. M65 forma un tripletto di galassie ben visibile, il Tripletto del Leone, assieme alle sue vicine: la galassia spirale M66 e la galassia spirale NGC 3628.La galassia dista 22 milioni di anni luce da noi; la sua magnitudine apparente è 9,3 ed è quindi meno luminosa della sua compagna M66. La sua morfologia secondo la sequenza di Hubble è Sa, dunque una galassia spirale, sebbene sia vista da un'angolazione molto inclinata, per cui la si può osservare quasi di taglio; i bracci di spirale sono attraversati da un sistema di polveri oscure, in cui nelle immagini ad alta risoluzione sono evidenti stelle azzurre molto luminose, segno che è in atto la formazione stellare. Il suo diametro reale sarebbe di 70000 anni luce e la sua massa pari a 85 miliardi di masse solari."
M66,NGC 3627,Galassia a spirale (tipo Sb),Leone,"A.R. 11h 20,2min; Dec. +12° 59'",35.000.000 a.l.,"8,9",9' x 4',100.000 a.l.,"M 66 (conosciuto anche come NGC 3627) è una galassia a spirale visibile nella costellazione del Leone. È stata scoperta da Pierre Méchain nel 1780. M66 forma un tripletto di galassie ben visibile, il Tripletto del Leone, assieme alle sue vicine: la galassia spirale M65 e la galassia spirale NGC 3628.La galassia dista 35 milioni di anni luce da noi e ha un raggio di circa 50.000 anni luce; la sua magnitudine apparente è 8,9 e corrisponde a una magnitudine assoluta di circa -21,3. Nelle sue spire sono state osservate cinque supernovae: la SN 1973R, di tipo II, che raggiunse la magnitudine 15, la SN 1989B, che raggiunse magnitudine 12,2 e fu tipo Ia e SN 1997bs, di tipo II peculiare e appena di magnitudine 17, la SN 2007bb di tipo IIn che raggiunse la magnitudine 17,2 e la SN 2009hd di magnitudine 15,8."
M67,NGC 2682,Ammasso aperto,Cancro,"A.R. 08h 50,4min; Dec. +11° 49'",2600 a.l.,"6,1",30',12 a.l.,"M 67 (conosciuto anche come Messier 67 o NGC 2682) è un ammasso aperto visibile nella costellazione del Cancro. A causa della sua età molto avanzata, insolita per questo genere di oggetti e stimata sui 3,2 miliardi di anni, è oggetto di diversi studi da parte degli scienziati. M67 è l'ammasso antico più vicino conosciuto ed è diventato un esempio standard per studiare l'evoluzione stellare; pur non essendo il più antico conosciuto riveste un ruolo importante per via della sua facilità di osservazione, dato che non appare minimamente oscurato dalle polveri interstellari. Appare come un ammasso molto compatto, il cui nucleo centrale ha un diametro di circa 15', si estende per circa 12 anni luce. È stato stimato che M67, come ammasso, esisterà circa per altri 5 miliardi di anni. Contiene approssimativamente 500 componenti di diverso tipo, per questo motivo l'ammasso M67 è stato intensamente studiato: Shapley (1917) realizzò i primi studi sul suo colore e la sua magnitudine, Barnard (1931) misurò la posizione delle sue principali componenti (per determinarne i movimenti), Popper (1954) lo spettro delle sue stelle più brillanti, mentre Johnson e Sandage (1955) elaborarono il primo preciso diagramma H-R di circa 500 stelle, ricavandone la loro età e il loro stato di evoluzione. Nel 2006 è stata scoperta nell'ammasso la presenza di 25 sorgenti di raggi X, la maggioranza di questi sono stelle binarie interagenti (probabilmente del tipo RS CVn), con un periodo orbitale di 10 giorno o meno. Nella sua parte sud, praticamente nella zona occidentale, appare un gruppo di nove stelle conosciuto con il nome di Dipper: questo ha la forma di una piccola cometa con la coda curva; una delle sue stelle componenti è la variabile S 999. Alcune di queste stelle sono facilmente visibili con telescopi amatoriali dotati di camera CCD."
M68,NGC 4590,Ammasso globulare,Idra,"A.R. 12h 39,5min; Dec. −26° 45'",33.000 a.l.,"7,8",12',140 a.l.,"M 68 (conosciuto anche come NGC 4590) è un ammasso globulare visibile nella costellazione dell'Idra. M68 è stato uno degli oggetti di Messier più trascurati nel corso del tempo, forse anche a causa della sua posizione, australe e in una regione già povera di oggetti interessanti. Si trova ad una distanza di circa 33.000 anni luce dalla Terra; i suoi membri sono sparsi su un volume di almeno 140 anni luce di diametro. Possiede almeno 42 variabili note, in massima parte del tipo RR Lyrae, e si avvicina a noi alla velocità a di 112 km/s."
M69,NGC 6637,Ammasso globulare,Sagittario,"A.R. 18h 31,4min; Dec. -32° 21'",29.700 a.l.,"7,6","7,1'",84 a.l.,"M 69 (conosciuto anche come NGC 6637) è un ammasso globulare visibile nella costellazione del Sagittario. M69 si trova ad una distanza di circa 29.700 anni luce dalla Terra e ha un raggio di 42 anni luce. Questo ammasso si trova molto vicino all'ammasso globulare M70; i due oggetti sono separati da 1.800 anni luce, ed entrambi giacciono vicino al Centro galattico. M69 è uno dei ammassi globulari più ricchi come contenuto di metalli, quindi le sue stelle presentano un'abbondanza relativamente alta di elementi più pesanti dell'elio. Ciò nonostante, questo valore è significativamente inferiore a quello delle stelle più giovani (Popolazione I), come ad esempio il Sole, ad indicare che anche questo ammasso globulare si formò in epoche cosmiche antiche, quando l'universo era formato da elementi meno pesanti. M69 risulta finora povero di stelle variabili: il totale di quelle note a tutt'oggi è fermo ad otto, due delle quali di tipo Mira, con un periodo di circa 200 giorni."
M70,NGC 6681,Ammasso globulare,Sagittario,"A.R. 18h 43,2min; Dec. −32° 18’",29.300 a.l.,7.9,"7,8'",65 a.l.,"M 70 (noto anche come NGC 6681) è un ammasso globulare della costellazione del Sagittario, circa 2° ad est di M69. M70 si trova a circa 29.300 anni luce dalla Terra, ha un'estensione angolare di 7.8 minuti d'arco che corrispondono ad un'estensione reale di circa 65 anni luce. L'ammasso recede da noi alla velocità di 200 km/s e in esso si conoscono soltanto 2 variabili. M70 si trova relativamente vicino al Centro della Galassia e per questo è leggermente deformato dai potenti effetti delle forze mareali. Il nucleo di M70 è estremamente denso e, similmente ad almeno altri 21-29 globulari su 147 conosciuti della Via Lattea, tra cui M15, M30 e forse M62, deve aver subito nella sua storia un collasso gravitazionale."
M71,NGC 6838,Ammasso globulare,Freccia,"A.R. 19h 53,8min; Dec. +18° 47'",13.200 a.l.,"8,3","7,2'",27 a.l.,"M 71 (conosciuto anche come NGC 6838) è un ammasso globulare molto disperso e dalla natura controversa, visibile nella costellazione della Freccia. M71 si trova ad una distanza di circa 12.000 anni luce dalla Terra ed ha un'estensione di soli 27 anni luce, molto pochi per un ammasso globulare. La irregolare stella variabile Z Sagittae fa parte di questo ammasso; contiene almeno sei giganti di tipo M e la sua luminosità totale è di 13.200 luminosità solari. M71 fu a lungo ritenuto (fino al 1970) un ammasso aperto particolarmente concentrato. La sua elevata velocità radiale (-80 km/s) e le sue stelle più brillanti, che sono rosse, giocano decisamente a favore dell'appartenenza di M71 alla categoria degli ammassi globulari. Al contrario, il fatto che in esso non siano state scoperte variabili a corto periodo come le variabili RR Lyrae (che denota un'età giovane, sui 9–10 miliardi di anni) e il suo collocamento sul piano della Via Lattea sono punti a favore della classificazione come ammasso aperto. Le fonti più recenti concordano nell'attribuire ad M71 la qualifica di ammasso globulare, sebbene molto poco concentrato come M68 nell'Idra."
M72,NCG 6981,Ammasso globulare,Acquario,"A.R. 20h 53,5min; Dec. −12° 32'",53.000 a.l.,"9,3","5,9'",90 a.l.,"M 72 (conosciuto anche come NGC 6981) è un ammasso globulare visibile nella costellazione dell'Aquario. La M72 si trova a circa 53.000 anni luce dalla Terra, alla quale si avvicina a una velocità di circa 255 km/s, è uno degli oggetti del catalogo di Messier più lontani dal centro galattico. Il suo diametro sarebbe di circa 90 anni luce.È considerato come uno degli ammassi più giovani, data la presenza di giganti blu e stelle variabili, del tipo RR Lyrae."
M73,NGC 6994,Gruppo o asterismo di 4 stelle,Acquario,"A.R. 20h 58,9min; Dec. −12° 38'",Non disponibile,"8,9","2,8'",Non disponibile,"M 73 (conosciuto anche come NGC 6994 o GC 4617) è un gruppo di quattro stelle molto ravvicinate, nella costellazione dell'Aquario. Si tratta di un asterismo di quattro stelle. Un asterismo è un raggruppamento di stelle causato dall'effetto della prospettiva.M73 a volte è stato trattato come un potenziale ammasso aperto poco popolato, che consiste di stelle che sono fisicamente associate nello spazio così come nel cielo. La questione se queste stelle fossero un asterismo o un ammasso aperto, ha generato un piccolo ma interessante dibattito.La controversia fu risolta nel 2002 quando M. Odenkirchen e C. Soubrian pubblicarono una analisi sulle sei stelle principali dell'ammasso, dimostrando che le sei stelle si trovano a distanze molto diverse dalla Terra e che si stanno muovendo in direzioni differenti. Di conseguenza, hanno concluso che le quattro stelle sono soltanto un asterismo."
M74,NGC 628,Galassia a Spirale (tipo Sc),Pesci,"A.R. 01h 36,7min; Dec. +15° 47'",35.000.000 a.l.,"9,4",12',80.000 a.l.,"M 74 (nota anche come NGC 628) è una galassia a spirale visibile nella costellazione dei Pesci. La sua massa è un quinto di quella della nostra Galassia ma il suo diametro è tuttavia pari a 80 000 a.l. La galassia dista da noi 35 milioni di anni luce e recede a una velocità di 793 km/s. I bracci a spirale della galassia contengono molte stelle giovani o ancora in formazione. M74 è la componente più brillante di un ammasso di galassie che comprende anche: NGC 660, UGC 1171, UGC 1175, UGC 1176, UGC 1195 e UGC 1200."
M75,NGC 6864,Ammasso globulare,Sagittario,"A.R. 20h 06,1min; Dec. -21° 55’",67.000 a.l.,"8,5","6,8'",130 a.l.,"M 75 (conosciuto anche come NGC 6864) è un ammasso globulare visibile nella costellazione del Sagittario. M75 si trova a una distanza di circa 67.500 anni luce dalla Terra e le sue dimensioni nella volta celeste si traducono in un raggio reale di 65 anni luce; è classificato nella classe I, il che significa che è uno degli ammassi globulari aventi la concentrazione più densa conosciuta di stelle. La magnitudine assoluta di M75 è di -8.5 ed è pari a circa 180.000 volte più luminoso del Sole."
M76,Piccola campana muta o Nebulosa farfalla o Nebulosa Turacciolo NGC 650/651,Nebulosa planetaria,Perseo,"A.R. 01h 42,4min; Dec. +51° 34'",3.400 a.l.,"10,1","2,7' x 1,8'","2,6 a.l.","M 76 (nota talvolta anche come Piccola Dumbell, Piccola Nebulosa Manubrio, Nebulosa Tappo di Sughero, Nebulosa Farfalla o con le sigle NGC 650 e NGC 651) è una nebulosa planetaria visibile nella costellazione di Perseo. È stata scoperta da Pierre Méchain nel 1780. La nebulosa possiede due numeri NGC perché si sospettava che fosse una nebulosa doppia con le due componenti in contatto. Invece NGC 651 è soltanto la parte a nord-est della nebulosa. L'aspetto della nebulosa piccola campana muta assomiglia in una certa misura a quello della nebulosa Manubrio M27.È uno degli oggetti Messier più deboli con la sua magnitudine visuale di 10,1. La zona più brillante della nebulosa ha un diametro di 65 secondi d'arco, mentre l'alone ha un'estensione di 290 secondi d'arco. La stella centrale ha magnitudine di 16,6 e una temperatura di 140.000 K; probabilmente raffreddandosi diventerà una nana bianca in una decina di milioni di anni."
M77,NGC 1068,Galassia a spirale (tipo Sb),Balena,"A.R. 02h 42,7min; Dec. 00° 01'",47.000.000 a.l.,"9,6","7,1'",170.000 a.l.,"M 77 (nota anche come NGC 1068) è una galassia a spirale visibile nella costellazione della Balena. M77 è distante circa 47 milioni di anni luce; si tratta di una galassia attiva il cui nucleo è oscurato nelle lunghezze d'onda visibili a causa della polvere interstellare. Il diametro del disco molecolare e del plasma caldo associato con la materia oscurante è stato misurato inizialmente alle onde radio; la polvere calda attorno al nucleo fu in seguito misurata dal very Large Telescope, si tratta della galassia di Seyfert più luminosa ed è di tipo 2. Il suo diametro è stimato essere di 170 000 a.l."
M78,NGC 2068,Nebulosa a riflessione,Orione,"A.R. 05h 46,7min; Dec. 00° 03'",1600 a.l.,"8,3",8',4 a.l.,"M 78 (nota anche come NGC 2068) è una nebulosa diffusa visibile nella costellazione di Orione. M78 è la nebulosa a riflessione più brillante del cielo; fa parte di un gruppo di nebulose che comprende NGC 2064, NGC 2067 e NGC 2071, lontano 1.600 anni luce dalla Terra. Le due stelle che illuminano la nube di polvere in M78 sono catalogate come HD 38563A e HD 38563B e sono di magnitudine 10; l'estensione reale della nebulosa è pari a circa 4 anni luce.  Poco a sudovest di M78, in una regione molto oscurata del complesso di LDN 1630, si osservano tre oggetti HH connessi fra loro, catalogati come HH 24, HH 25 e HH 26; questa sezione di nube presenta una complessa morfologia a causa degli intensi fenomeni di formazione stellare che qui hanno luogo.Come conseguenza di ciò, la regione è ricca di oggetti stellari giovani, fra cui sono state individuate due giovanissime protostelle di classe 0,da cui fuoriescono dei getti di materia molto densi lungo il cui asse si trovano dei fasci di idrogeno molecolare; i nuclei dei bozzoli sono allo stesso modo molto densi. Nel gennaio del 2004 la stella V1647 Orionis, una giovane variabile eruttiva situata sul bordo nordoccidentale della nube, subì un improvviso picco di luminosità, illuminando una parte dei gas della nube, che fu chiamata Nebulosa di McNeil dal nome del suo scopritore."
M79,NGC 1904,Ammasso globulare,Lepre,"A.R. 05h 24,5min; Dec. −24° 33’",40.000 a.l.,"8,6","8,7",100 a.l.,"M 79 (conosciuto anche come NGC 1904) è un ammasso globulare visibile nella costellazione della Lepre. M79 si trova ad una distanza di circa 40.000 anni luce dalla Terra e 60.000 anni luce dal centro della nostra galassia. Ha un'estensione apparante di 8,7 minuti d'arco che corrispondono ad un'estensione lineare di oltre 100 anni luce. Così come per M54, si crede che M79 non si sia formato nella nostra Via Lattea, ma nella Galassia Nana Ellittica del Cane Maggiore, una sua galassia satellite scoperta nel 2003 che in questa epoca sta sperimentando un incontro estremamente ravvicinato con la nostra Galassia, al punto che si crede sarà difficile che in futuro potrà mantenere la sua forma intatta; c'è tuttavia un dibattito in corso sulla natura reale di questa galassia,perciò bisogna essere prudenti quando si afferma che quest'oggetto sia originario della Galassia Nana Ellittica del Cane Maggiore."
